id,type,name,effect,gold,ev,obs,tags,proficience,icon
ID-2-20260102211820,alojamento,Estalagem comum,,,,,,,dagger-black
ID-3-20260102211820,alojamento,Estalagem Boa,,,,,,,dagger-black
ID-4-20260102211820,alojamento,Estalagem Pobre,,,,,,,dagger-black
ID-5-20260102211820,alojamento,Sala comunal (apenas o andar),,,,,,,dagger-black
ID-6-20260102211820,alojamento,Comum (piso de palha),,,,,,,dagger-black
ID-7-20260102211820,alojamento,1 cama sem mobiliário,,,,,,,dagger-black
ID-8-20260102211820,alojamento,2 camas sem mobiliário,,,,,,,dagger-black
ID-9-20260102211820,alojamento,4 camas sem mobiliário,,,,,,,dagger-black
ID-10-20260102211820,alojamento,5+ Camas sem mobiliário (+15 PP por cama extra),,,,,,,dagger-black
ID-11-20260102211820,alojamento,1 Cama mobiliada,,,,,,,dagger-black
ID-12-20260102211820,alojamento,2 Camas mobiliadas,,,,,,,dagger-black
ID-13-20260102211820,alojamento,4 Camas mobiliadas,,,,,,,dagger-black
ID-14-20260102211820,alojamento,5+ Camas mobiliadas (+1 PO por cama extra),,,,,,,dagger-black
ID-15-20260102211820,alojamento,Suíte sem mobília,,,,,,,dagger-black
ID-16-20260102211820,alojamento,Suíte mobiliada,,,,,,,dagger-black
ID-17-20260102211820,arma,Adaga,dano 1d4,2,2,,,"assassino,trapaceiro",dagger-black
ID-18-20260102211820,arma,Alabarda,dano 1d10,10,5,,,"assassino,bárbaro,combatente,explorador,paladino",dagger-black
ID-19-20260102211820,arma,Cestus,dano +1,1,1,,,,dagger-black
ID-20-20260102211820,arma,Cutelo,dano 1d4,5,2,,,,dagger-black
ID-21-20260102211820,arma,Espada Bastarda,dano 1d10,25,4,,,"assassino,bárbaro,combatente,explorador,paladino",dagger-black
ID-22-20260102211820,arma,Espada Broadsword,dano 2d4,12,4,,,"assassino,bárbaro,combatente,explorador,paladino",dagger-black
ID-23-20260102211820,arma,Espada Cimitarra,dano 1d6,15,3,,,"assassino,bárbaro,combatente,explorador,paladino",dagger-black
ID-24-20260102211820,arma,Espada Curta,dano 1d6,10,2,,,"assassino,bárbaro,combatente,explorador,paladino",dagger-black
ID-25-20260102211820,arma,Espada de Gancho,dano 1d4+1,25,3,,,"assassino,bárbaro,combatente,druid,explorador,ilusionista,mago,paladino,trapaceiro",dagger-black
ID-26-20260102211820,arma,Espada Longa,dano 1d8,15,3,,,"assassino,bárbaro,combatente,explorador,paladino",dagger-black
ID-27-20260102211820,arma,Espada Rapieira,dano 1d6,20,3,,,"assassino,bárbaro,combatente,explorador,paladino,trapaceiro",dagger-black
ID-28-20260102211820,arma,Foice de Guerra,dano 2d4,18,4,,,"assassino,bárbaro,combatente,explorador,paladino",dagger-black
ID-29-20260102211820,arma,Garfo Fauchard,dano 1d8,15,5,,,"assassino,bárbaro,combatente,druid,explorador,paladino",dagger-black
ID-30-20260102211820,arma,Garfo militar,dano 1d8,10,5,,,"assassino,bárbaro,combatente,explorador,paladino,trapaceiro",dagger-black
ID-31-20260102211820,arma,Gato de nove caudas,dano 1d3,9,2,,,,dagger-black
ID-32-20260102211820,arma,Lança Partisan,dano 1d8,10,5,,,"assassino,bárbaro,combatente,explorador,paladino",dagger-black
ID-33-20260102211820,arma,Lança Pesada,dano 1d8,10,7,,,"assassino,bárbaro,combatente,explorador,paladino",dagger-black
ID-34-20260102211820,arma,Maça Pesada,dano 1d8,12,4,,,"assassino,bárbaro,combatente,druid,explorador,paladino",dagger-black
ID-35-20260102211820,arma,Machado Barbado,dano 3d4,20,4,,,"assassino,bárbaro,combatente,explorador,paladino",dagger-black
ID-36-20260102211820,arma,Machado Bardiche,dano 2d4,15,4,,,"assassino,bárbaro,combatente,druid,explorador,paladino",dagger-black
ID-37-20260102211820,arma,Machado de arremesso,dano 1d6,4,2,,,,dagger-black
ID-38-20260102211820,arma,Machado de Batalha,dano 1d8,10,3,,,"assassino,bárbaro,combatente,druid,explorador,paladino,trapaceiro",dagger-black
ID-39-20260102211820,arma,Machado de duas mãos,dano 1d12,20,4,,,"assassino,bárbaro,combatente,druid,explorador,paladino",dagger-black
ID-40-20260102211820,arma,"Machado, perfurador",dano 1d8+1,17,3,,,"assassino,bárbaro,combatente,explorador,paladino",dagger-black
ID-41-20260102211820,arma,Mangual Leve,dano 1d8,8,3,,,"assassino,bárbaro,combatente,druid,explorador,paladino,trapaceiro",dagger-black
ID-42-20260102211820,arma,Mangual Pesado,dano 1d10,15,4,,,"assassino,bárbaro,combatente,explorador,paladino,trapaceiro",dagger-black
ID-43-20260102211820,arma,Marreta,dano 1d10,12,5,,,"assassino,bárbaro,combatente,explorador,paladino",dagger-black
ID-44-20260102211820,arma,Morningstar,dano 2d4,8,3,,,"assassino,bárbaro,combatente,explorador,paladino",dagger-black
ID-45-20260102211820,arma,Picareta bico de corvo,dano 1d6,15,2,,,"assassino,bárbaro,combatente,druid,explorador,paladino,trapaceiro",dagger-black
ID-46-20260102211820,arma,Podão ou gancho,dano 2d4,12,5,,,,dagger-black
ID-47-20260102211820,arma,Punhos de bronze,dano 1d3,1,1,,,,dagger-black
ID-48-20260102211820,arma,Tridente,dano 1d8,10,5,,,"assassino,bárbaro,combatente,explorador,paladino",dagger-black
ID-49-20260102211820,arma,Cajado,,,,,,,dagger-black
ID-50-20260102211820,arma,Chicote,,,,,,,dagger-black
ID-51-20260102211820,arma,Clava,,,,,,,dagger-black
ID-52-20260102211820,arma,Clava pesada,,,,,,,dagger-black
ID-53-20260102211820,arma,Cutelo longo,,,,,,,dagger-black
ID-54-20260102211820,arma,"Espada larga, 9 anéis",,,,,,,dagger-black
ID-55-20260102211820,arma,Espada Cimitarra grande,,,,,,,dagger-black
ID-56-20260102211820,arma,Espada de duas mãos,,,,,,,dagger-black
ID-57-20260102211820,arma,Espada Falcione,,,,,,,dagger-black
ID-58-20260102211820,arma,Espada Flamberg,,,,,,,dagger-black
ID-59-20260102211820,arma,Espada Gancho,,,,,,,dagger-black
ID-60-20260102211820,arma,Espada larga,,,,,,,dagger-black
ID-61-20260102211820,arma,Faca,,,,,,,dagger-black
ID-62-20260102211820,arma,Forcado Militar,,,,,,,dagger-black
ID-63-20260102211820,arma,"Gancho, haste",,,,,,,dagger-black
ID-64-20260102211820,arma,Glaive,,,,,,,dagger-black
ID-65-20260102211820,arma,Godentag,,,,,,,dagger-black
ID-66-20260102211820,arma,Guisarme,,,,,,,dagger-black
ID-67-20260102211820,arma,Katar,,,,,,,dagger-black
ID-68-20260102211820,arma,Lança,,,,,,,dagger-black
ID-69-20260102211820,arma,Lança de lobo,,,,,,,dagger-black
ID-70-20260102211820,arma,Lança leve,,,,,,,dagger-black
ID-71-20260102211820,arma,Lança longa,,,,,,,dagger-black
ID-72-20260102211820,arma,Maça grande,,,,,,,dagger-black
